quarter,y,g,newsy,unemp,hpunemp_split,tbill
1950.50,1.000572,.1621626,.6000733,4.60,4.2860617,1.22
1950.75,1.010347,.1700093,.4021633,4.20,4.3031002,1.34
1951.00,1.014614,.1879224,.0129321,3.50,4.3201612,1.37
1951.25,1.022597,.2078125,0,3.10,4.3372538,1.49
1951.50,1.033931,.2301441,0,3.20,4.3543858,1.60
1951.75,1.026557,.2406802,0,3.40,4.3715642,1.61
1952.00,1.027757,.2433828,-.0014395,3.10,4.3887947,1.57
1952.25,1.020277,.2518161,-.013125,3.00,4.4060819,1.65
1952.50,1.018093,.2522489,.0022584,3.20,4.4234293,1.78
1952.75,1.041716,.2560171,0,2.80,4.4408389,1.89
1953.00,1.051212,.2597721,-.0204923,2.70,4.4583116,1.98
1953.25,1.049556,.2627455,-.0119062,2.60,4.4758464,2.15
1953.50,1.033929,.2557875,-.0313047,2.70,4.4934407,1.96
1953.75,1.008775,.2531516,-.0026397,3.70,4.5110901,1.47
1954.00,.9947473,.2451269,0,5.30,4.5287883,1.06
1954.25,.9865473,.236741,0,5.80,4.5465282,0.79
1954.50,.9884582,.2307145,-.0127554,6.00,4.5643034,0.88
1954.75,.9983647,.2284286,0,5.30,4.582109,1.02
1955.00,1.01733,.2266955,.0122194,4.70,4.5999414,1.22
1955.25,1.024295,.2251174,0,4.40,4.6177975,1.48
1955.50,1.028404,.2252869,0,4.10,4.6356746,1.86
1955.75,1.025018,.2191544,0,4.20,4.6535696,2.34
1956.00,1.011571,.218626,.0021073,4.00,4.6714791,2.33
1956.25,1.01048,.223003,.0013779,4.20,4.689399,2.57
1956.50,1.000295,.218209,.0067851,4.10,4.7073245,2.58
1956.75,1.007228,.2220673,.0011065,4.10,4.7252506,3.03
1957.00,1.004349,.2256007,0,3.90,4.7431715,3.10
1957.25,.992864,.2230024,.0051224,4.10,4.7610806,3.14
1957.50,.9932553,.2229274,0,4.20,4.7789709,3.35
1957.75,.9739866,.22606,.0213001,4.90,4.7968343,3.31
1958.00,.9400124,.2211725,.0014334,6.30,4.8146624,1.76
1958.25,.9374546,.2260463,0,7.40,4.8324468,0.96
1958.50,.9503112,.225538,0,7.30,4.8501806,1.68
1958.75,.9635844,.228001,0,6.40,4.8678595,2.69
1959.00,.9724553,.223775,.0028885,5.80,4.8854815,2.77
1959.25,.9869454,.2240298,0,5.10,4.9030463,3.00
1959.50,.9759813,.2228199,0,5.30,4.9205545,3.54
1959.75,.97083,.2182561,0,5.60,4.9380069,4.23
1960.00,.9833626,.2124749,0,5.10,4.9554045,3.87
1960.25,.9706324,.212654,.0052485,5.20,4.9727492,2.99
1960.50,.9641501,.2170103,0,5.50,4.9900429,2.36
1960.75,.943745,.2178505,0,6.30,5.0072879,2.31
1961.00,.9414849,.2186681,.0134303,6.80,5.0244866,2.35
1961.25,.9501995,.2180162,.0536323,7.00,5.0416433,2.30
1961.50,.9572247,.2200119,.005966,6.80,5.0587635,2.30
1961.75,.9677101,.2232814,-.0016846,6.20,5.075855,2.46
1962.00,.9761789,.2260095,.0033276,5.60,5.0929273,2.72
1962.25,.977694,.2256966,0,5.50,5.1099909,2.72
1962.50,.9780162,.2289563,0,5.60,5.127057,2.84
1962.75,.9728825,.2288124,0,5.50,5.1441368,2.81
1963.00,.9747927,.2260532,0,5.80,5.1612426,2.91
1963.25,.9785237,.2242489,0,5.70,5.1783864,2.94
1963.50,.9885941,.2308349,-.0109956,5.50,5.1955813,3.29
1963.75,.9866391,.2285557,0,5.60,5.2128407,3.50
1964.00,.9988441,.2281502,-.0069305,5.50,5.2301784,3.53
1964.25,1.001592,.228193,0,5.20,5.2476086,3.48
1964.50,1.006034,.2276908,0,5.00,5.2651455,3.50
1964.75,1.000479,.2247543,0,5.00,5.2828038,3.68
1965.00,1.015933,.2228846,.0031514,4.90,5.3005973,3.89
1965.25,1.020535,.2237967,.0019774,4.70,5.31854,3.87
1965.50,1.031912,.2305362,.0195091,4.40,5.3366453,3.87
1965.75,1.046737,.2349142,0,4.10,5.354926,4.17
1966.00,1.062972,.2371756,0,3.90,5.373394,4.61
